FighterId,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,CareerStats
"140000018","Rachael","Ostovich","null","Scrambled","1991-02-25T00:00:00","97.3","193","95.7","10","14","0","0","0","7","5","7","0","0","0","[object Object]"
"140000019","Joseph","Benavidez","null","Scrambled","1984-07-31T00:00:00","98.8","193","100.4","43","12","0","0","12","5","14","2","0","12","0","[object Object]"
"140000020","Dustin","Ortiz","null","Scrambled","1988-12-25T00:00:00","100.4","193","100.4","29","12","0","0","14","0","7","2","0","0","0","[object Object]"
"140000021","Yancy","Medeiros","The Kid","Scrambled","1987-09-07T00:00:00","108.1","239.3","116.6","26","12","0","2","12","10","12","2","0","0","0","[object Object]"
"140000022","Gregor","Gillespie","The Gift","Scrambled","1986-11-13T00:00:00","103.4","240.9","109.6","22","2","0","0","11","2","12","0","5","0","0","[object Object]"
"140000023","Greg","Hardy","Prince of War","Scrambled","1988-07-28T00:00:00","118.9","410.7","124.3","11","12","0","2","14","7","0","0","0","0","0","[object Object]"
"140000024","Allen","Crowder","Pretty Boy","Scrambled","1989-11-08T00:00:00","115.8","393.7","118.1","15","10","0","0","12","10","7","0","0","0","0","[object Object]"
"140000025","TJ","Dillashaw","null","Scrambled","1986-02-07T00:00:00","101.9","208.4","103.4","28","12","0","0","12","7","7","0","12","10","0","[object Object]"
"140000026","Henry","Cejudo","Triple C","Scrambled","1987-02-09T00:00:00","98.8","208.4","98.8","25","7","0","0","12","2","0","0","10","5","0","[object Object]"
"140000027","Magomed","Bibulatov","Chaborz","Scrambled","1988-08-22T00:00:00","100.4","193","101.1","23","5","0","0","7","2","12","0","2","0","0","[object Object]"
"140000028","Rogerio","Bontorin","null","Scrambled","1992-04-25T00:00:00","100.4","193","103.4","25","12","0","5","7","5","17","2","0","0","0","[object Object]"
"140000029","Ricardo","Ramos","null","Scrambled","1995-08-01T00:00:00","106.5","225.4","111.2","25","10","0","0","10","5","11","2","2","2","0","[object Object]"
"140000030","Said","Nurmagomedov","null","Scrambled","1992-04-05T00:00:00","105","210","108.1","26","7","0","0","10","0","12","0","2","0","0","[object Object]"
"140000031","Geraldo","de Freitas","The Spartan","Scrambled","1991-09-30T00:00:00","103.4","210","111.2","19","14","0","0","10","0","12","0","0","0","0","[object Object]"
"140000032","Felipe","Colares","Cabocao","Scrambled","1994-03-31T00:00:00","105","223.9","106.5","15","10","0","0","5","2","12","0","2","0","0","[object Object]"
"140000033","Junior","Albini","Baby","Scrambled","1991-03-15T00:00:00","115.8","409.2","114.3","22","14","0","0","14","5","14","7","0","0","0","[object Object]"
"140000034","Jairzinho","Rozenstruik","Bigi Boy","Scrambled","1988-03-17T00:00:00","114.3","409.2","120.4","20","12","0","0","19","5","0","2","0","0","0","[object Object]"
"140000035","Thiago","Alves","Pitbull","Scrambled","1983-10-03T00:00:00","106.5","262.5","108.1","43","23","0","0","19","7","5","12","0","2","0","[object Object]"
"140000036","Max","Griffin","Pain","Scrambled","1985-11-29T00:00:00","109.6","262.5","117.3","29","15","0","0","14","2","5","0","2","2","0","[object Object]"
"140000037","Taila","Santos","null","Scrambled","1993-06-22T00:00:00","101.9","191.5","105","29","7","0","0","15","0","7","0","0","2","0","[object Object]"
"140000038","Mara","Romero Borella","Maravilha","Scrambled","1986-06-03T00:00:00","101.9","193","106.5","19","14","0","5","7","10","10","7","0","0","0","[object Object]"
"140000039","Markus","Perez","Maluko","Scrambled","1988-06-22T00:00:00","112.7","287.2","112.7","19","14","0","0","7","2","14","0","2","0","0","[object Object]"
"140000040","Anthony","Hernandez","Fluffy","Scrambled","1993-10-18T00:00:00","111.2","287.2","115.8","17","5","0","2","5","2","11","2","2","0","0","[object Object]"
"140000041","Livinha","Souza","The Brazilian Gangsta","Scrambled","1991-03-11T00:00:00","97.3","177.6","97.3","22","10","0","0","5","2","12","0","5","2","0","[object Object]"
"140000042","Sarah","Frota","A Treta","Scrambled","1987-04-14T00:00:00","101.9","193","106.5","14","10","0","0","5","2","12","0","0","0","0","[object Object]"
"140000043","Johnny","Walker","null","Scrambled","1992-03-30T00:00:00","120.4","316.5","126.6","32","11","0","0","25","10","7","2","0","2","0","[object Object]"
"140000044","Justin","Ledet","El Blanco","Scrambled","1988-09-28T00:00:00","117.3","316.5","123.5","14","10","0","2","5","5","12","0","0","0","0","[object Object]"
"140000045","Charles","Oliveira","Do Bronxs","Scrambled","1989-10-17T00:00:00","108.1","237.8","114.3","52","14","0","2","15","10","32","10","7","2","2","[object Object]"
"140000046","David","Teymur","null","Scrambled","1989-05-01T00:00:00","106.5","239.3","112.7","12","5","0","0","10","0","0","2","0","0","0","[object Object]"
"140000047","Demian","Maia","null","Scrambled","1977-11-06T00:00:00","112.7","262.5","111.2","43","17","0","0","7","5","22","0","0","5","0","[object Object]"
"140000048","Lyman","Good","Cyborg","Scrambled","1985-05-26T00:00:00","111.2","262.5","114.3","32","14","0","2","17","0","7","2","7","2","0","[object Object]"
"140000049","Jose","Aldo","Junior","Scrambled","1986-09-09T00:00:00","103.4","210","108.1","48","12","0","0","26","10","2","2","17","10","0","[object Object]"
"140000050","Renato","Moicano","Moicano","Scrambled","1989-05-21T00:00:00","109.6","239.3","111.2","26","12","2","0","0","7","15","2","0","0","0","[object Object]"
"140000051","Raphael","Assuncao","null","Scrambled","1982-07-19T00:00:00","100.4","210","102.7","43","15","0","0","10","7","15","7","0","0","0","[object Object]"
"140000052","Marlon","Moraes","Magic","Scrambled","1988-04-26T00:00:00","101.9","225.4","106.5","36","20","2","0","15","15","14","5","14","5","0","[object Object]"
"140000053","Wulijiburen","null","Beast Master","Scrambled","1990-03-01T00:00:00","106.5","208.4","106.5","31","14","0","0","7","7","20","5","0","0","0","[object Object]"
"140000054","Jonathan","Martinez","Dragon","Scrambled","1994-04-20T00:00:00","105","208.4","108.1","28","10","0","0","12","2","5","0","0","0","0","[object Object]"
"140000055","Callan","Potter","The Rockstar","Scrambled","1984-06-09T00:00:00","111.2","262.5","111.2","28","14","0","0","14","12","15","10","0","0","0","[object Object]"
"140000056","Jalin","Turner","The Tarantula","Scrambled","1995-05-18T00:00:00","115.8","244","118.9","20","11","0","0","14","7","10","0","0","0","0","[object Object]"
"140000057","Kyung Ho","Kang","Mr. Perfect","Scrambled","1987-09-09T00:00:00","106.5","210","112.7","29","14","0","2","5","2","19","2","0","0","0","[object Object]"
"140000058","Teruto","Ishihara","Yashabo","Scrambled","1991-07-23T00:00:00","103.4","208.4","106.5","19","17","7","0","15","2","0","10","0","0","0","[object Object]"
"140000059","Kai","Kara-France","Don't Blink","Scrambled","1993-03-26T00:00:00","98.8","193","106.5","37","17","0","2","17","7","7","7","2","5","0","[object Object]"
"140000060","Raulian","Paiva","null","Scrambled","1995-10-17T00:00:00","105","210","107.3","32","12","0","0","10","5","7","2","0","0","0","[object Object]"
"140000061","Shane","Young","Smokin'","Scrambled","1993-07-31T00:00:00","105","230.1","111.9","20","12","0","0","14","2","10","2","0","0","0","[object Object]"
"140000062","Austin","Arnett","Golden Boy","Scrambled","1991-10-22T00:00:00","111.2","223.9","111.2","25","14","0","0","14","2","14","2","0","0","0","[object Object]"
"140000063","Dong Hyun","Ma","Maestro","Scrambled","1988-09-09T00:00:00","109.6","239.3","108.9","25","17","7","0","11","10","12","5","0","0","0","[object Object]"
"140000064","Devonte","Smith","King Kage","Scrambled","1993-07-30T00:00:00","106.5","240.9","117.3","17","10","0","0","15","7","2","0","0","0","0","[object Object]"
"140000065","Sam","Alvey","Smile'N","Scrambled","1986-05-06T00:00:00","114.3","287.2","116.6","52","28","2","2","31","10","7","7","5","2","0","[object Object]"
"140000066","Jimmy","Crute","null","Scrambled","1996-03-04T00:00:00","114.3","316.5","114.3","19","10","2","0","12","5","10","5","0","0","0","[object Object]"
"140000067","Montana","De La Rosa","null","Scrambled","1995-02-14T00:00:00","103.4","193","105","19","12","2","0","2","2","12","5","0","0","0","[object Object]"
"140000068","Nadia","Kassem","187","Scrambled","1995-11-15T00:00:00","100.4","193","101.9","12","5","0","0","10","2","0","2","0","0","0","[object Object]"
"140000069","Rani","Yahya","null","Scrambled","1984-09-12T00:00:00","101.9","208.4","103.4","43","17","2","2","0","7","32","2","0","2","0","[object Object]"
"140000070","Ricky","Simon","null","Scrambled","1992-08-31T00:00:00","101.9","210","106.5","31","10","0","0","14","5","10","2","5","2","0","[object Object]"
"140000071","Lando","Vannata","Groovy","Scrambled","1992-03-14T00:00:00","106.5","240.9","109.6","19","11","5","0","10","0","12","5","0","0","0","[object Object]"
"140000072","Marcos","Mariano","Dhalsim","Scrambled","1986-09-30T00:00:00","112.7","239.3","117.3","14","14","0","0","5","2","2","7","0","0","0","[object Object]"
"140000073","Anderson","Silva","The Spider","Scrambled","1975-04-14T00:00:00","114.3","285.6","118.9","52","17","0","2","34","10","10","5","17","5","0","[object Object]"
"140000074","Israel","Adesanya","The Last Stylebender","Scrambled","1989-07-22T00:00:00","117.3","285.6","123.5","37","7","0","0","25","2","0","0","12","7","0","[object Object]"
"140000075","Alexandra","Albu","Stitch","Scrambled","1990-07-14T00:00:00","95.7","177.6","97.3","11","5","0","0","10","0","5","2","0","0","0","[object Object]"
"140000076","Emily","Whitmire","Spitfire","Scrambled","1991-05-24T00:00:00","100.4","193","98","10","12","0","0","0","0","2","12","0","0","0","[object Object]"
"140000077","Renan","Barao","The Baron","Scrambled","1987-01-31T00:00:00","101.9","223.9","108.1","52","14","0","2","12","7","23","0","10","5","0","[object Object]"
"140000078","Luke","Sanders","Cool Hand","Scrambled","1985-12-12T00:00:00","101.9","223.9","103.4","20","12","0","0","11","2","5","7","5","0","0","[object Object]"
"140000079","Nik","Lentz","The Carny","Scrambled","1984-08-13T00:00:00","105","231.6","105","46","19","5","2","17","7","12","5","0","0","0","[object Object]"
"140000080","Scott","Holtzman","Hot Sauce","Scrambled","1983-09-30T00:00:00","106.5","239.3","106.5","22","14","0","0","12","5","5","0","5","0","0","[object Object]"
"140000081","Ashlee","Evans-Smith","Rebel Girl","Scrambled","1987-07-09T00:00:00","105","208.4","103.4","14","14","0","0","7","0","0","5","0","0","0","[object Object]"
"140000082","Andrea","Lee","KGB","Scrambled","1989-02-11T00:00:00","101.9","193","107.3","20","12","0","0","7","0","12","2","7","0","0","[object Object]"
"140000083","Manny","Bermudez","The Bermudez Triangle","Scrambled","1994-07-16T00:00:00","108.1","223.9","110.4","22","5","0","0","2","0","17","2","0","0","0","[object Object]"
"140000084","Benito","Lopez","Golden Boy","Scrambled","1994-04-06T00:00:00","108.1","213.1","112.7","15","5","0","0","7","0","5","5","0","0","0","[object Object]"
"140000085","Jimmie","Rivera","El Terror","Scrambled","1989-06-29T00:00:00","98.8","208.4","105.8","36","12","0","0","10","2","5","0","5","0","0","[object Object]"
"140000086","Aljamain","Sterling","Funk Master","Scrambled","1989-07-31T00:00:00","103.4","208.4","109.6","36","10","0","0","7","5","12","0","12","2","0","[object Object]"
"140000087","Myles","Jury","Fury","Scrambled","1988-10-31T00:00:00","108.1","239.3","112.7","29","14","0","0","12","2","12","5","0","0","0","[object Object]"
"140000088","Andre","Fili","Touchy","Scrambled","1990-06-25T00:00:00","109.6","223.9","114.3","34","15","0","2","14","7","7","5","0","0","0","[object Object]"
"140000089","Vicente","Luque","The Silent Assassin","Scrambled","1991-11-27T00:00:00","109.6","262.5","116.6","34","14","2","0","17","2","12","5","0","0","0","[object Object]"
"140000090","Bryan","Barberena","Bam Bam","Scrambled","1989-05-03T00:00:00","111.2","285.6","111.9","28","17","0","0","17","5","5","7","0","0","0","[object Object]"
"140000091","Alex","Caceres","Bruce Leeroy","Scrambled","1988-06-20T00:00:00","108.1","223.9","113.5","32","22","0","2","10","2","11","11","0","0","0","[object Object]"
"140000092","Kron","Gracie","null","Scrambled","1988-07-11T00:00:00","106.5","223.9","108.1","12","5","0","0","0","0","12","0","0","0","0","[object Object]"
"140000093","Cortney","Casey","Cast Iron","Scrambled","1987-05-05T00:00:00","103.4","193","103.4","15","15","0","0","7","0","10","5","0","0","0","[object Object]"
"140000094","Cynthia","Calvillo","null","Scrambled","1987-07-13T00:00:00","98.8","177.6","98.8","14","14","2","0","5","5","7","0","0","0","0","[object Object]"
"140000095","James","Vick","The Texecutioner","Scrambled","1987-02-23T00:00:00","115.8","262.5","117.3","20","14","0","0","7","12","12","0","0","0","0","[object Object]"
"140000096","Paul","Felder","The Irish Dragon","Scrambled","1984-04-25T00:00:00","109.6","240.9","108.1","26","14","0","0","15","2","2","0","0","0","0","[object Object]"
"140000097","Cain","Velasquez","null","Scrambled","1982-07-28T00:00:00","112.7","382.9","118.9","22","7","0","0","19","5","0","2","10","5","0","[object Object]"
"140000098","Francis","Ngannou","The Predator","Scrambled","1986-09-05T00:00:00","117.3","396.8","128.2","26","7","0","0","19","0","10","0","5","2","0","[object Object]"
"140000099","Damir","Ismagulov","Qazaq","Scrambled","1991-02-03T00:00:00","108.1","240.9","114.3","37","7","0","0","19","0","2","0","10","0","0","[object Object]"
"140000100","Joel","Alvarez","El Fenomeno","Scrambled","1993-03-02T00:00:00","115.8","240.9","118.9","31","7","0","0","7","5","26","0","0","0","0","[object Object]"
"140000101","Rustam","Khabilov","Tiger","Scrambled","1986-11-04T00:00:00","105","239.3","112.7","37","10","0","0","10","0","12","2","0","0","0","[object Object]"
"140000102","Diego","Ferreira","null","Scrambled","1985-01-18T00:00:00","106.5","237.8","114.3","28","12","0","0","10","7","11","0","2","0","0","[object Object]"
"140000103","Michel","Prazeres","Tractor","Scrambled","1981-07-25T00:00:00","101.9","262.5","104.2","42","12","0","0","2","0","17","2","0","0","0","[object Object]"
"140000104","Ismail","Naurdiev","The Austrian Wonderboy","Scrambled","1996-08-18T00:00:00","108.1","262.5","114.3","29","12","0","0","17","2","12","2","0","0","0","[object Object]"
"140000105","Damir","Hadzovic","The Bosnian Bomber","Scrambled","1986-08-08T00:00:00","106.5","239.3","108.1","22","11","0","0","11","2","7","2","0","0","0","[object Object]"
"140000106","Polo","Reyes","El Toro","Scrambled","1984-11-07T00:00:00","109.6","223.9","109.6","12","14","0","0","14","11","2","5","0","2","0","[object Object]"
"140000107","Veronica","Hardy","null","Scrambled","1995-10-30T00:00:00","98.8","193","98.8","11","10","2","0","2","2","5","2","0","0","0","[object Object]"
"140000108","Gillian","Robertson","The Savage","Scrambled","1995-05-17T00:00:00","100.4","179.1","97.3","19","12","0","0","2","2","14","2","0","0","0","[object Object]"
"140000109","Chris","Fishgold","null","Scrambled","1992-06-06T00:00:00","105","230.1","105","28","10","2","0","5","2","20","2","10","0","0","[object Object]"
"140000110","Daniel","Teymur","Kid Dynamite","Scrambled","1988-02-03T00:00:00","100.4","223.9","106.5","11","10","0","0","7","2","7","5","0","0","0","[object Object]"
"140000111","Carlo","Pedersoli Jr.","Semento","Scrambled","1993-06-08T00:00:00","109.6","262.5","115.8","22","12","0","0","12","7","12","0","0","0","0","[object Object]"
"140000112","Dwight","Grant","The Body Snatcher","Scrambled","1984-09-14T00:00:00","112.7","284.1","117.3","17","14","0","0","11","5","0","0","0","0","0","[object Object]"
"140000113","Magomed","Ankalaev","null","Scrambled","1992-06-02T00:00:00","115.8","316.5","115.8","28","2","2","0","15","0","0","2","2","0","2","[object Object]"
"140000114","Klidson","Abreu","White Bear","Scrambled","1992-12-24T00:00:00","114.3","398.4","115.8","25","12","0","5","10","7","15","0","7","2","0","[object Object]"
"140000115","John","Dodson","The Magician","Scrambled","1984-09-26T00:00:00","97.3","208.4","101.9","39","20","0","0","19","0","5","0","2","5","0","[object Object]"
"140000116","Petr","Yan","No Mercy","Scrambled","1993-02-11T00:00:00","103.4","210","103.4","25","12","0","0","11","0","2","0","10","7","0","[object Object]"
"140000117","Liz","Carmouche","Girl-Rilla","Scrambled","1984-02-19T00:00:00","101.9","193","101.9","29","11","0","0","12","0","12","5","7","7","0","[object Object]"
"140000118","Lucie","Pudilova","Bullet","Scrambled","1994-06-13T00:00:00","105","210","104.2","22","12","0","0","7","0","5","2","0","0","0","[object Object]"
"140000119","Gian","Villante","null","Scrambled","1985-08-18T00:00:00","115.8","403","117.3","26","22","0","0","15","14","5","2","5","0","0","[object Object]"
"140000120","Michal","Oleksiejczuk","Hussar","Scrambled","1995-02-22T00:00:00","111.2","287.2","114.3","29","14","0","2","22","2","2","10","7","0","0","[object Object]"
"140000121","Stefan","Struve","Skyscraper","Scrambled","1988-02-18T00:00:00","128.2","409.2","130.5","51","20","0","0","12","14","28","2","0","0","0","[object Object]"
"140000122","Marcos Rogerio","de Lima","Pezao","Scrambled","1985-06-25T00:00:00","112.7","404.5","115.8","32","15","2","0","20","5","10","14","0","0","0","[object Object]"
"140000123","Jan","Blachowicz","null","Scrambled","1983-02-24T00:00:00","114.3","316.5","120.4","45","15","2","0","14","5","14","5","12","5","2","[object Object]"
"140000124","Thiago","Santos","Marreta","Scrambled","1984-01-07T00:00:00","114.3","318.1","117.3","34","19","0","0","23","10","2","7","0","2","0","[object Object]"
"140000125","Hannah","Cifers","Shockwave","Scrambled","1992-06-26T00:00:00","94.2","180.6","95.7","15","11","0","0","12","5","0","10","0","0","0","[object Object]"
"140000126","Polyana","Viana","Dama de Ferro","Scrambled","1992-06-14T00:00:00","100.4","179.1","103.4","20","14","0","0","12","0","12","5","5","0","0","[object Object]"
"140000127","Gina","Mazany","Danger","Scrambled","1988-08-19T00:00:00","101.9","194.5","105","12","14","0","0","7","10","5","2","0","0","0","[object Object]"
"140000128","Macy","Chiasson","null","Scrambled","1991-07-27T00:00:00","109.6","216.2","111.2","14","7","0","0","7","2","5","2","2","0","0","[object Object]"
"140000129","Charles","Byrd","Kid Dynamite","Scrambled","1983-10-11T00:00:00","108.1","285.6","112.7","15","11","0","0","7","7","12","5","0","0","0","[object Object]"
"140000130","Edmen","Shahbazyan","The Golden Boy","Scrambled","1997-11-20T00:00:00","114.3","285.6","114.3","19","10","0","0","15","7","2","0","0","0","0","[object Object]"
"140000131","Diego","Sanchez","Nightmare","Scrambled","1981-12-31T00:00:00","108.1","262.5","111.2","48","22","0","0","15","10","14","0","2","2","0","[object Object]"
"140000132","Mickey","Gall","null","Scrambled","1992-01-22T00:00:00","114.3","262.5","114.3","11","12","0","0","0","5","14","0","0","0","0","[object Object]"
"140000133","Alejandro","Perez","Turbo","Scrambled","1989-09-02T00:00:00","101.9","222.3","103.4","36","14","2","0","15","5","14","7","2","0","0","[object Object]"
"140000134","Cody","Stamann","The Spartan","Scrambled","1989-11-09T00:00:00","101.9","214.6","99.6","32","14","2","0","11","0","5","5","0","0","0","[object Object]"
"140000135","Misha","Cirkunov","null","Scrambled","1987-02-27T00:00:00","115.8","316.5","118.9","23","14","0","0","10","12","14","7","0","0","0","[object Object]"
"140000136","Jeremy","Stephens","Lil' Heathen","Scrambled","1986-05-25T00:00:00","106.5","240.9","108.1","45","32","0","2","29","7","5","12","0","0","0","[object Object]"
"140000137","Zabit","Magomedsharipov","null","Scrambled","1991-03-01T00:00:00","112.7","223.9","112.7","28","2","0","0","14","0","11","2","0","0","0","[object Object]"
"140000138","Pedro","Munhoz","The Young Punisher","Scrambled","1986-09-07T00:00:00","101.9","208.4","100.4","31","12","0","5","12","0","12","0","5","0","0","[object Object]"
"140000139","Cody","Garbrandt","No Love","Scrambled","1991-07-07T00:00:00","105","208.4","101.1","20","12","0","0","15","10","0","0","2","5","0","[object Object]"
"140000140","Tecia","Torres","The Tiny Tornado","Scrambled","1989-08-16T00:00:00","94.2","177.6","93.4","20","14","0","0","2","0","2","0","0","0","0","[object Object]"
"140000141","Zhang","Weili","Magnum","Scrambled","1989-08-13T00:00:00","98.8","177.6","97.3","37","7","0","0","17","2","12","0","10","5","0","[object Object]"
"140000142","Robbie","Lawler","Ruthless","Scrambled","1982-03-20T00:00:00","109.6","262.5","114.3","46","25","0","0","34","7","2","14","10","10","0","[object Object]"
"140000143","Ben","Askren","Funky","Scrambled","1984-07-18T00:00:00","109.6","262.5","112.7","29","5","0","2","14","2","14","2","15","0","2","[object Object]"
"140000144","Tyron","Woodley","The Chosen One","Scrambled","1982-04-07T00:00:00","106.5","264","114.3","29","11","2","0","11","5","12","2","10","5","2","[object Object]"
"140000145","Kamaru","Usman","Nigerian Nightmare","Scrambled","1987-05-11T00:00:00","111.2","262.5","117.3","31","7","0","0","14","2","2","2","11","5","0","[object Object]"
"140000146","Jon","Jones","Bones","Scrambled","1987-07-19T00:00:00","117.3","382.9","130.5","42","2","0","2","15","0","11","0","23","0","5","[object Object]"
"140000147","Anthony","Smith","Lionheart","Scrambled","1988-07-26T00:00:00","117.3","316.5","117.3","57","28","0","0","29","15","22","10","5","2","0","[object Object]"
"140000148","Alex","White","The Spartan","Scrambled","1988-10-22T00:00:00","111.2","239.3","109.6","20","14","0","0","12","2","12","2","0","0","0","[object Object]"
"140000149","Dan","Moret","The Hitman","Scrambled","1986-11-21T00:00:00","111.2","239.3","111.9","23","12","0","0","5","5","12","2","0","2","0","[object Object]"
"140000150","Alex","Morono","The Great White","Scrambled","1990-08-16T00:00:00","109.6","260.9","111.2","36","12","0","2","14","7","11","0","2","0","0","[object Object]"
"140000151","Zak","Ottow","The Barbarian","Scrambled","1986-12-22T00:00:00","109.6","285.6","111.2","31","12","0","0","7","10","19","2","0","0","0","[object Object]"
"140000152","Matt","Schnell","Danger","Scrambled","1990-01-15T00:00:00","105","194.5","108.1","25","11","0","2","5","10","14","5","2","0","0","[object Object]"
"140000153","Louis","Smolka","Da Last Samurai","Scrambled","1991-07-16T00:00:00","106.5","210","105.8","26","14","0","0","12","5","11","7","0","0","0","[object Object]"
"140000154","Maurice","Greene","The Crochet Boss","Scrambled","1986-07-05T00:00:00","122","404.5","125.1","17","14","0","0","7","7","14","2","0","2","0","[object Object]"
"140000155","Jeff","Hughes","Lights Out","Scrambled","1988-05-17T00:00:00","114.3","398.4","118.9","15","10","0","2","10","2","2","2","5","0","0","[object Object]"
"140000156","Grant","Dawson","KGD","Scrambled","1994-02-20T00:00:00","108.1","240.9","111.2","31","2","2","0","10","2","20","0","0","0","0","[object Object]"
"140000157","Julian","Erosa","Juicy J","Scrambled","1989-07-31T00:00:00","112.7","223.9","115","43","19","0","0","17","12","19","0","10","7","0","[object Object]"
"140000158","Marion","Reneau","The Belizean Bruiser","Scrambled","1977-06-20T00:00:00","101.9","210","105","14","12","2","0","12","2","7","0","0","0","0","[object Object]"
"140000159","Yana","Santos","Foxy","Scrambled","1989-11-11T00:00:00","101.9","222.3","105","22","12","0","2","11","7","2","5","2","5","2","[object Object]"
"140000160","Sergio","Moraes","The Panther","Scrambled","1982-07-23T00:00:00","111.2","262.5","111.2","22","12","2","0","2","12","12","0","0","2","0","[object Object]"
"140000161","Anthony Rocco","Martin","null","Scrambled","1989-12-11T00:00:00","111.2","262.5","112.7","28","14","0","0","2","0","15","5","0","0","0","[object Object]"
"140000162","Tim","Boetsch","The Barbarian","Scrambled","1981-01-28T00:00:00","111.2","285.6","114.3","32","20","0","0","20","10","7","12","0","0","0","[object Object]"
"140000163","Omari","Akhmedov","Wolverine","Scrambled","1987-10-12T00:00:00","111.2","315","109.6","37","12","2","0","12","10","11","5","0","2","0","[object Object]"
"140000164","Drew","Dober","null","Scrambled","1988-10-19T00:00:00","105","239.3","108.1","40","19","0","2","22","5","12","10","0","0","0","[object Object]"
"140000165","Beneil","Dariush","null","Scrambled","1989-05-06T00:00:00","108.1","240.9","111.2","34","12","2","0","12","10","12","2","0","0","0","[object Object]"
"140000166","Ben","Rothwell","null","Scrambled","1981-10-17T00:00:00","117.3","409.2","121.2","60","22","0","0","34","12","20","5","0","0","0","[object Object]"
"140000167","Blagoy","Ivanov","Baga","Scrambled","1986-10-09T00:00:00","109.6","399.9","112.7","29","14","0","2","14","0","14","2","10","0","0","[object Object]"
"140000168","Tim","Means","The Dirty Bird","Scrambled","1984-02-20T00:00:00","114.3","262.5","115.8","49","23","2","2","29","5","12","11","5","0","0","[object Object]"
"140000169","Niko","Price","The Hybrid","Scrambled","1989-09-29T00:00:00","111.2","264","117.3","23","11","0","5","15","12","7","2","0","0","0","[object Object]"
"140000170","Elizeu","Zaleski dos Santos","Capoeira","Scrambled","1986-12-11T00:00:00","109.6","264","112.7","37","11","0","0","22","2","7","5","5","0","0","[object Object]"
"140000171","Curtis","Millender","Curtious","Scrambled","1987-12-01T00:00:00","114.3","262.5","120.4","31","14","0","2","11","2","0","12","2","0","0","[object Object]"
"140000172","Junior","Dos Santos","Cigano","Scrambled","1984-01-30T00:00:00","117.3","379.8","118.9","32","15","0","0","23","12","2","2","5","7","0","[object Object]"
